date,action,name,rate,target
Oct-26-18,Reiterated,Imperial Capital,In-line,$66 to $56
Oct-30-18,Downgrade,JP Morgan,Neutral to Underweight,
Nov-12-18,Initiated,Goldman,Neutral,$61
Nov-19-18,Initiated,Credit Suisse,Neutral,$54
Nov-28-18,Initiated,Susquehanna,Neutral,$56
Dec-04-18,Reiterated,Imperial Capital,In-line,$56 to $62
Dec-14-18,Reiterated,Imperial Capital,In-line,$62 to $57
Jan-09-19,Reiterated,Imperial Capital,In-line,$57 to $52
Jan-25-19,Reiterated,Imperial Capital,In-line,$52 to $60
Jan-25-19,Reiterated,Cowen,Market Perform,$54 to $58
Feb-04-19,Initiated,Vertical Research,Buy,
Feb-20-19,Downgrade,Goldman,Neutral to Sell,$66 to $54
Feb-21-19,Reiterated,Imperial Capital,In-line,$60 to $58
Feb-22-19,Downgrade,Macquarie,Outperform to Neutral,
Mar-20-19,Reiterated,Imperial Capital,In-line,$58 to $55
Mar-27-19,Reiterated,Cowen,Market Perform,$58 to $55
Mar-28-19,Reiterated,Imperial Capital,In-line,$55 to $52
